X,Y
A,chas
AARU,eqmt
ABFZ,chas
ACCU,eqmt
ACHU,eqmt
ACPZ,chas
ADCR,chas
ADVZ,chas
AECZ,chas
AFIU,eqmt
AFIZ,chas
AGI,chas
AGIL,chas
AGMU,eqmt
AIBG,chas
AIMT,chas
AIMZ,chas
AKLU,eqmt
ALGZ,chas
ALIZ,chas
ALLZ,chas
AMCZ,chas
AMF,chas
AMFU,eqmt
AMLU,eqmt
AMLZ,chas
AMMZ,chas
AMPZ,chas
AMTI,chas
AMXK,chas
AMZG,chas
ANGZ,chas
ANSZ,chas
ANT,chas
APDU,eqmt
APHU,eqmt
APLZ,chas
APMZ,chas
APRU,eqmt
APZU,eqmt
AQCZ,chas
ARDU,eqmt
ARTU,eqmt
AT,chas
ATBZ,chas
ATOI,chas
AURU,eqmt
AVOZ,chas
AWE,chas
AWHZ,chas
AWXU,eqmt
AXCN,chas
AXDZ,chas
AXIU,eqmt
AXXZ,chas
AZTL,chas
BAFU,eqmt
BAYZ,chas
BCRZ,chas
BEAU,eqmt
BEJG,chas
BENZ,chas
BEST,chas
BESZ,chas
BFSZ,chas
BGBU,eqmt
BHCU,eqmt
BKSU,eqmt
BLKU,eqmt
BLKZ,chas
BMOU,eqmt
BMSZ,chas
BNCZ,chas
BNZ,chas
BOCH,chas
BOGZ,chas
BOWZ,chas
BRIZ,chas
BRKU,eqmt
BSBU,eqmt
BSEN,chas
BSIU,eqmt
BTBI,chas
BTNU,eqmt
BTNZ,chas
BTOM,chas
BTSZ,chas
BTVP,chas
BTWZ,chas
BUDZ,chas
BUHS,chas
BXAA,chas
C,chas
CAAU,eqmt
CAEU,eqmt
CAFT,chas
CAIU,eqmt
CAQC,chas
CARU,eqmt
CATZ,chas
CAXU,eqmt
CB,chas
CBDZ,chas
CBHU,eqmt
CBSL,chas
CBSZ,chas
CBXU,eqmt
CBXZ,chas
CC,chas
CCCZ,chas
CCFU,eqmt
CCII,chas
CCLU,eqmt
CCLZ,chas
CCMZ,chas
CCPZ,chas
CCSZ,chas
CCZ,chas
CDCZ,chas
CDDU,eqmt
CDSZ,chas
CDYZ,chas
CELT,chas
CEOU,eqmt
CFRT,chas
CFRZ,chas
CGIU,eqmt
CGMU,eqmt
CGO,chas
CGWZ,chas
CHFZ,chas
CHIZ,chas
CHSU,eqmt
CICU,eqmt
CIGL,chas
CIMC,chas
CIPU,eqmt
CITZ,chas
CJ,chas
CJFZ,chas
CJZ,chas
CKKI,chas
CKKZ,chas
CKLZ,chas
CL,chas
CLFZ,chas
CLGU,eqmt
CLHU,eqmt
CLKU,eqmt
CMAU,eqmt
CMAZ,chas
CMCZ,chas
CMIU,eqmt
CMNU,eqmt
CMPZ,chas
CNCU,eqmt
CNIU,eqmt
COPU,eqmt
COPZ,chas
CORZ,chas
COTM,chas
COZ,chas
CPBU,eqmt
CPGC,chas
CPGN,chas
CPGZ,chas
CPLU,eqmt
CPOD,chas
CPSU,eqmt
CPWU,eqmt
CREU,eqmt
CRG,chas
CRSU,eqmt
